HH_ASC_Sigma0,SM(%),LAI
-9.604,35,5.34
-11.648,26,4.34
-11.556,18,4.32
-11.556,13,4.12
-11.09,18,4.17
-10.444,22,3.58
-10.444,19,5.39
-10.042,16.5,5.66
-9.2,20,5.47
-9.75,24,5.73
-9.2,24,5.76
-9.2,21,5.93
-9.812,13,4.91
-9.972,22,5.36
-8.938,25,6.15
-9.2,24,4.56
-8.198,30,5.44
-7.722,23,6.54
-7.348,18,6.20
-7.348,17.6,6.34
-8.198,15,5.56
-10.082,17,5.88
-6.87,27,7.34
-8.104,22,5.74
-8.732,21,4.81
-7.83,15,5.73
-10.686,15,3.63
-10.964,18,4.61
-10.976,31,4.76
-10.976,10,4.02
-10.698,22,3.12
-10.734,25,3.83
-11.044,15,3.90
-11.318,21,3.78
-11.344,15,4.16
-11.31,15,2.72
-10.406,12,3.05
-8.732,16,5.32
-8.732,20,5.44
-8.114,30,5.15
-11.04,17,4.92
-12.2,20,3.37
-12.234,10,2.88
-12.234,8,2.03
-10.14,9,5.71
-9.698,9,6.07
-9.698,8,5.50
-9.822,10,6.05
-9.822,8,6.07
-12.426,11,2.98
-9.654,9,5.19
-9.654,12,4.85
-9.928,9,5.56
-9.84,9,5.61
-8.758,9,5.25
-9.794,10,5.78
-8.758,7,4.37
-8.08,12,6.42
-9.406,7,4.59
-9.63,9,5.05
-9.608,11,3.71
-9.966,8,6.03
-10.016,7,4.81
-10.08,12,5.50
-11.058,7,4.48
-10.764,9,4.47
-11.522,7,3.98
-11.348,7,4.72
-11.374,10,4.55
-11.374,10,3.36
-11.414,7,4.57
-11.03,7,3.70
-10.874,9,4.56
-10.838,9,4.64
-10.838,7,4.17
-11.058,9,4.40
-11.066,7,4.54
-11.058,7,4.30
-10.566,7,5.26
-10.352,7,4.41
-10.734,19,3.34
-11.21,18,3.93
-11.246,18,3.03
-11.246,13.7,4.30
-11.804,11,3.06
-12.516,8,2.42
-12.516,8,2.64
-12.57,8,2.64
-11.01,7,4.97
-11.01,8,2.48
-9.84,8,4.30
-9.84,9,3.27
-9.84,8,3.60
-9.912,8,4.10
-8.872,9,4.25
-8.928,7,4.04
-8.928,11,4.95
-8.646,8,4.93
-9.088,8,4.32
-9.188,7,4.15
-9.346,14,5.61
-10.29,10,3.64
-8.474,13,5.95
-10.988,11.6,3.18
-11.086,7.7,2.38
-10.532,8,3.14
-11.488,11,2.78
-11.532,8.7,2.81
-11.214,9,2.30
-11.214,9.2,3.00
-11.154,10.7,2.35
-11.35,10.9,2.51
-11.428,11,2.08
-11.508,10.2,2.40
-11.48,9.5,2.93
-11.466,13,3.11
-10.988,8.5,2.73
-10.926,7,2.43
-10.978,8,3.06
-11.02,7.5,3.20
